City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
365,jaffna,0,LK,1511028017,100,9.67,80.01,81.86,7.96
366,tuatapere,80,NZ,1511028110,100,-46.13,167.68,46.27,4.61
367,milazzo,40,IT,1511024100,72,38.22,15.24,60.8,6.93
368,daura,0,NG,1511028110,29,11.55,11.41,81.64,5.61
369,anadyr,90,RU,1511024400,100,64.75,177.48,35.6,11.18
370,torquay,75,GB,1511027400,87,50.46,-3.51,51.8,9.17
371,tarauaca,44,BR,1511028112,72,-8.16,-70.77,86.27,5.61
372,anloga,20,GH,1511024400,83,5.79,0.9,84.2,13.87
373,bend,1,US,1511025300,59,44.06,-121.32,37.4,5.82
374,carutapera,64,BR,1511028113,66,-1.2,-46.02,86.32,12.55
375,vao,88,NC,1511028113,100,-22.67,167.48,70.16,11.21
376,plyussa,92,RU,1511028113,97,58.43,29.37,36.5,9.86
377,turukhansk,88,RU,1511028114,66,65.82,87.98,-4.46,11.65
378,vysokogornyy,20,RU,1511028115,55,50.12,139.15,-12.51,3.6
